ID,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,ID_Count,Platform_Count,Activity_Type_Count,USD_Adjusted_Amount,Subscription Duration,Normalized Purchase Amount,Language_ARA,Language_CHI,Language_DAR,Language_DEU,Language_EBR,Language_ENG,Language_ESC,Language_ESP,Language_FAR,Language_FRA,Language_GLE,Language_GRK,Language_HEB,Language_HIN,Language_IND,Language_ITA,Language_JPN,Language_KIS,Language_KOR,Language_LAT,Language_NED,Language_PAS,Language_POL,Language_POR,Language_RUS,Language_SVE,Language_TGL,Language_TUR,Language_URD,Language_VIE
133,Limited,RENEWAL,App,0,,10/14/18,10/17/19,No,Yes,Off,US/Canada,Consumer,App,Yes,Yes,63,2,0,2,0,4,1,2,,368,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Limited,INITIAL_PURCHASE,App,0,,2/19/19,2/19/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,12,0,0,0,0,8,1,2,,365,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,Limited,INITIAL_PURCHASE,Web,57.26082,EUR,10/30/19,4/30/20,Yes,No,On,Europe,Consumer,App,No,Yes,4,4,0,1,0,34,1,4,57.26082,183,-0.018506373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Limited,INITIAL_PURCHASE,App,0,,3/16/20,3/16/21,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,15,1,0,1,0,15,1,4,,365,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Limited,INITIAL_PURCHASE,Web,38.13,USD,9/19/19,12/19/19,No,No,Off,Other,Other,Unknown,No,No,51,2,0,2,0,1,0,0,38.13,91,-0.018506437,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Limited,INITIAL_PURCHASE,App,0,,12/30/19,6/30/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,3,0,0,0,0,43,1,4,,183,-0.018506563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Limited,RENEWAL,App,0,,3/20/20,3/5/21,No,Yes,On,US/Canada,Consumer,App,Yes,Yes,24,0,0,0,0,19,1,4,,350,-0.018506563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Limited,RENEWAL,App,0,,3/20/20,3/23/21,No,Yes,On,US/Canada,Consumer,App,Yes,Yes,10,0,0,0,0,23,1,4,,368,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Lifetime,INITIAL_PURCHASE,Web,212.43,USD,3/3/20,1/1/99,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,1,0,0,212.43,28793,-0.018505859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Limited,INITIAL_PURCHASE,App,44990000,USD,3/29/20,6/29/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,3,0,0,0,0,6,1,4,44990000,92,0.130686907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Limited,INITIAL_PURCHASE,Web,99,USD,3/15/20,3/15/21,No,Yes,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,26,2,4,99,365,-0.018506235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Limited,RENEWAL,Web,119,USD,10/21/18,4/21/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,1,0,1,0,25,1,4,119,548,-0.018506169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
